id;nombre;categoria;precio;imagen
1;PAN X KG;;2210;
2;PAN SANTA ISABEL X KG;;3570;
3;BISCOCHITOS  X KG;;7250.000;
4;FACTURAS Y BIZCOCHOS;;580.000;
705;RAVIOLES DE POLLO Y VERDURA LA ITALIANA X 1KG;;171.950;
10;PAN CASERO O ROSCA STA ANA;;1890.000;
13;FACTURAS STA ISABEL;;660.000;
14;BISCOCHITOS STA ISABEL X KG;;195.000;
33;GRASA DE CERDO MORICONI X 1 KG;;6500.000;
37;HAMBURGUESA POLLO X 2 ;;2640.000;
48;CAFE EN SAQ ARO X 5GR;;3.000;
57;PAN PEBETE SUELTO;;370.000;
58;PAN HAMBURGUESA SUELTO;;390.000;
65;ACEITUNAS NEGRAS X KG;;2535.000;
656750809228;PAN DE PAPA PAZZI BUNS PANCHOS C/SEMILLAS X 6U;;520.000;
67;FILET DE ANCHOAS EN SOBRE;;780.000;
73;HUEVOS;;280.000;
790757828902;PAN DE PAPA PAZZI BUNS PANCHOS C/QUESO X 6U;;780.000;
100;PIZZETTAS CASERAS BOOM PASTAS;;120.000;
1019;RAVIOLES DE JAMON Y QUESO LA ITALIANA X 1KG;;2080.000;
104;PAN TORPEDO BETY X 3;;228.000;
110;COMIDA P/PERROS RABITO X KG;;125.000;
1218282;AZUCAR EN SOBRE LEDESMA X 800U;;1985.000;
125;EMPANADAS ABUELA ELVIRA X 1;;1380.000;
126;ROSCA PASCUA ABUELA ELVIRA;;845.000;
155;BOLSA CONSORCIO COLOR 60 X 90;;4350.000;
1609751;CAFE MOLIDO LA VIRGINIA X 1KG;;2080.000;
161;MIEL DE AVEJAS DULCINEA X 250 GR;;630.000;
1618669;CAPSULA CAFE CABRALES LUNGO;;1675.000;
165;PREPIZA LA ENTRERRIANA;;165.000;
1655459;NESQUIK X 2KG;;1300.000;
166;PAN TORPEDO LA ENTRERRIANA X 2U;;520.000;
167;PAN DE CAMPO LA ENTRERRIANA;;340.000;
168;PAN DE MIGA LA ENTRERRIANA ;;780.000;
173;CALDO DE VERDURAS/GALLINA  X 1 CUBITO ;;12.100;
196;CHALITAS REG. ROSARINO;;250.000;
199;BOLSA DE HIELO X 2KG;;2180.000;
204;SABOR 15 CAPSULA;;410.000;
210;CARBON ANDINO X 4 KG;;3630.000;
216060;CAFE MOLIDO ARO TORRADO X 1KG;;2620.000;
218;CAFE BONAFIDE INTENSO SAQUITO X 5GR;;30.000;
225;TORTA COCO ABUELA ELVIRA;;255.000;
230;PREPIZZA FUGAZZA X 1;;145.000;
231;PREPIZZA CASERA ;;2410.000;
232;PAN RALLADO SUELTO X KG;;1650.000;
250;MADRILEÑO BETY;;6080.000;
255;CARBON ANDINO X 10KG;;364.000;
257;CARBON ANDINO X 2 KG;;2610.000;
258;CARBON ANDINO X 20KG;;377.000;
284;SUPREMAS X KG;;1870.000;
286;PASTAFROLA D. D. LECHE ABUELA ELVIRA;;2410.000;
287;PASTAFROLA BATATA ABUELA ELVIRA;;2500.000;
288;BANDEJA ALF. CHOCOLATE BETY X 6;;5940.000;
288366;CAJA EDULCORANTE HILERET ZUCRA X 400U;;494.000;
289;PASTAFROLA MEMBRILLO ABUELA ELVIRA;;2410.000;
294;JAMON COCIDO LARIO X KG;;814.000;
303;TORTA CUADRADITOS ABUELA ELVIRA;;1620.000;
313573;CAJA MAYONESA NATURA 192U X 8CC;;3510.000;
322;PAN DE MIGA GRANDE ;;2540.000;
343;SOPA QUICK X UNIDAD;;355.000;
348;TARTA ABUELA ELVIRA;;8010.000;
349;TARTA DE POLLO ABUELA ELVIRA;;9240.000;
350;CHORIZO DE CERDO CASERO X KG;;61.100;
3549;ACEITE DE OLIVA ARTE VIEJO EXTRA VIRGEN X 500CC;;416.000;
356;TORTA MARMOLADA BETY;;625.000;
369;CIGARRITOS X KG;;423.000;
382;ENSALADA DE FRUTAS;;520.000;
383;VARITAS SABORIZADAS X KG;;12620.000;
384;SANDWICH MAXIMIGA 2 TRIPLES JCR R Y Q ;;5200.000;
385;SANDWICH DE MIGA MACHADO TRIANGULO X 1;;510.000;
386;POSTRE CASERO ABUELA ELVIRA;;3990.000;
388;BIZCOCHITOS C/SEMILLAS X KG;;12620.000;
390;BUDIN BETY ;;4460.000;
4058075321083;LAMPARA LED OSRAM LUZ CALIDA 9W;;142.000;
4058075498280;LAMPARA LED OSRAM LUZ BLANCA 12W;;181.000;
414;GALLETITAS SALADAS. PEPAS. MIEL  X KG;;420.000;
416;PAN TORPEDO BETY X 2;;4050.000;
429;BANDEJA CAÑONCITOS-COPITOS BETY;;585.000;
430;TORTA TOFI BETY;;585.000;
431;MARMOLADO BETY;;325.001;
432;MARGARINA DANICA X 5 KG;;123.500;
452;LENGUITAS BETY;;170.000;
467;PAN DE PANCHO BETY X 2;;312.000;
468;PAN DE PACHO BETY X 3;;485.000;
470;BENDEJAS SURTIDAS JP ;;3960.000;
474;FIDEOS GIACOMINO X 500GR;;390.000;
476;HILERET SWEET X 1 SOBRE;;33.000;
477;HILERET CLASICO  X 1 SOBRE;;1.000;
493;PREPIZZA  MIXTA X 1;;230.000;
508;BIDON DE AGUA PURACQUA X 10 LT;;52.000;
513;CUBANITOS CHOCOLATE;;55.000;
516;SOBRE EQUALSWEET STEVIA X 1;;1.000;
520;SANDWICH GABI-MIGA TRIPLE JYQ;;275.000;
521;SANDWICH GABI-MIGA TRIPLE LECHUGA Y TOMATE;;430.000;
522;SANDWICH GABI-MIGA BANDEJA TRIPLE J Y Q X 12;;780.000;
523;SANDWICH DE MIGA MACHADO TRIPLES  JYQ/ SAL  X 4;;615.000;
524;SANDWICH DE MIGA MACHADO MIXTO X 6 UNID;;795.000;
525;SANDWICH DE MIGA MACHADO BONDIOLA X 4U;;260.000;
528;MERMELADA NATURPLAN FRUTILLA X 454GR;;2405.000;
529;MERMELADA NATURPLAN F DEL BOSQUE X 454;;3995.000;
533;MERMELADA NATURPLAN ARANDANOS X 450GR;;3995.000;
535;HAMBURGUESA PATY X 2;;1770.000;
537;HAMBURGUESA SUPER PATY X 2;;3800.000;
543;HUEVO PASCUA ARTESANAL Nª 10;;5580.000;
550;CAFE EN SAQUITOS CABRALES X 1U;;2.000;
566;HILERET STEVIA X 1SOB;;40.000;
571;HUEVO PASCUA ARTESANAL Nº 9;;43.900;
573;CASITA PASCUA ;;10530.000;
574;FORMITAS FRUTILLA X KG;;96.200;
608;ENSALADAS ANDREA;;4050.000;
613;MERMELADA NATURPLAN DURAZNO X 454GR;;3435.000;
614;PAN CASERO COMUN O C/CHICHA;;2280.000;
615;PAN CASERO RELLENO;;3120.000;
619;EDULCORANTE EQUALSWEET X 1SOB;;1.000;
628;MIEL POLIMIEL POTE X 250 GR;;310.000;
629;MIEL POLIMIEL POTE X 500 GR;;490.000;
633;TORTAS FRITAS;;150.000;
634;TORTA NARANJA ABUELA ELVIRA;;91.000;
645554004007;BUDIN LA CUMBRE MANTECA X 250 GR;;6.240;
645554004021;BUDIN LA CUMBRE NARANJA X 250 GR;;6.240;
645554004038;BUDIN LA CUMBRE VAINILLA C/ CHIPS X 250 GR;;6.240;
656750809211;PAN DE PAPA PAZZI BUNS HAMBURGUESA C/QUESO X 4U;;925.000;
668;COQUITAS REG ROSARINO X 180GR;;320.000;
669;BANDEJA ARROLLADO DDL ;;41.600;
677;PAN SALVADO INTEGRAL C/SEMILLA BETY;;3510.000;
691;PAN ARABE BETY X 6;;585.000;
694;ARROLLADITOS ABUELA ELVIRA;;2430.000;
695;TIRAMISU/CHOCOTORTA ABUELA ELVIRA;;4280.000;
696;TORTA MANZANA/PERA ABUELA ELVIRA;;2610.000;
697;ALFAJORES MAIZENA ABUELA ELVIRA;;253.500;
698;BANDEJA SURTIDA BUDINES;;450.000;
700;POSTRES FIAMA ;;560.000;
701;BUDIN INTEGRAL NUEZ/ CHIPS;;4460.000;
702;BUDIN ISABEL;;4050.000;
713;MERMELADA NATURPLAN NARANJA X 454GR;;2125.000;
714;MERMELADA NATURPLAN CIRUELA X 454GR;;2125.000;
714604278207;ALFAJOR CELIENERGY CACAO & MANI X 50GR;;1720.000;
715;PASTELITO X 1U;;32.500;
717;COPITOS SAN REMO;;455.000;
719;BIZCOCHUELO ABUELA ELVIRA;;106.000;
720;PAN HAMBURGUESA BETY GDE X 1;;105.000;
7290004991340;ATUN FRONTON DESM. EN ACEITE Y AGUA X 170GR;;115.000;
736;HAMBURGUESA D/CARNE CASERA X 2U;;78.000;
